experiment,seed,dataset,metric,value,checkpoint,source_file
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-300,S_alpha,0.9300093527776916,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-300,F_beta_w,0.8563592557233689,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-300,maxE_phi,0.9722654767850537,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-300,mE_phi,0.953544604157447,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-300,MAE,0.007244565494613728,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ClinicDB,mDice,0.9382337336578677,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ClinicDB,mIoU,0.889474856276666,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ClinicDB,S_alpha,0.947319567505135,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ClinicDB,F_beta_w,0.9273374863441647,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ClinicDB,maxE_phi,0.9825967638266162,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ClinicDB,mE_phi,0.9778710427328636,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ClinicDB,MAE,0.010862173753337695,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ColonDB,mDice,0.7938691594312026,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ColonDB,mIoU,0.7150217147420317,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ColonDB,S_alpha,0.8623815326311447,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ColonDB,F_beta_w,0.7720174220550945,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ColonDB,maxE_phi,0.904029240182496,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ColonDB,mE_phi,0.8967182485557823,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,CVC-ColonDB,MAE,0.03511685134902776,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,ETIS-LaribPolypDB,mDice,0.7753183095908501,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,ETIS-LaribPolypDB,mIoU,0.6951255160880546,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,ETIS-LaribPolypDB,S_alpha,0.875166626433332,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,ETIS-LaribPolypDB,F_beta_w,0.7478923084210506,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
