"experiment","experiment_id","seed","dataset","metric","value","status","protocol_group","checkpoint","source_file","component","enabled"
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-300","mE_phi","0.96284976122969","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-300","MAE","0.006922234307891911","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ClinicDB","mDice","0.9374064283986245","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ClinicDB","mIoU","0.8865000966095156","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ClinicDB","S_alpha","0.9476702009534348","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ClinicDB","F_beta_w","0.9238497017838619","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ClinicDB","maxE_phi","0.9884197607128428","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ClinicDB","mE_phi","0.9790173086869831","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ClinicDB","MAE","0.010570818028742207","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ColonDB","mDice","0.7839943887952687","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ColonDB","mIoU","0.7029739629476107","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ColonDB","S_alpha","0.8563116119678378","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ColonDB","F_beta_w","0.7614934665187015","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ColonDB","maxE_phi","0.8961167114599883","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ColonDB","mE_phi","0.8902709795820865","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","CVC-ColonDB","MAE","0.03510493958712163","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","ETIS-LaribPolypDB","mDice","0.7945766854084918","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
